English Name,Latitude,Longitude,Hebrew Name,English Name,Alt English Names,UID,,,,,
MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter,StringFilter,StringFilter,StringFilter,CSVFilter,CategoryFilter,CategoryFilter,CategoryFilter,CategoryFilter,CategoryFilter
"Atzenbrugg, Austria",48.2912006,15.9057591,אצענבורג,"Atzenbrugg, Austria",,AT-00027,,,,,
"Atzenbrugg, Austria",48.2912006,15.9057591,אצענברוק,"Atzenbrugg, Austria",,AT-00027,,,,,
"Bad Vöslau, Austria",47.9648168,16.213837,מרחץ וועסלוי,"Bad Vöslau, Austria",,AT-00028,,,,,
Wiener-Neustadt,47.80279,16.23318,וינר-נוישטט,Wiener-Neustadt,"Wiener Neustadt , Bécsújhely ",AT-00031,,,,,
Wiener-Neustadt,47.80279,16.23318,נאוישטט,Wiener-Neustadt,"Wiener Neustadt , Bécsújhely ",AT-00031,,,,,
Wiener-Neustadt,47.80279,16.23318,נוישטט,Wiener-Neustadt,"Wiener Neustadt , Bécsújhely ",AT-00031,,,,,
Wiener-Neustadt,47.80279,16.23318,ניאושטט,Wiener-Neustadt,"Wiener Neustadt , Bécsújhely ",AT-00031,,,,,
Wiener Neustadt,47.80279,16.23318,"ענ""ש",Wiener Neustadt,"Wiener Neustadt , Bécsújhely ",AT-00031,,,,,
Wiener Neustadt,47.80279,16.23318,"עני""ש",Wiener Neustadt,"Wiener Neustadt , Bécsújhely ",AT-00031,,,,,
"Graz, Austria",47.070714,15.439504,גראץ,"Graz, Austria","Graz , Štýrský Hradec , Štajerský Hradec , Gradec , Grác , Grodziec , Grats , Gradac , Gráca, Gratz",AT-00032,,,,,
"Graz, Austria",47.070714,15.439504,גרעץ,"Graz, Austria","Graz , Štýrský Hradec , Štajerský Hradec , Gradec , Grác , Grodziec , Grats , Gradac , Gráca, Gratz",AT-00032,,,,,
"Mödling, Austria",48.08255,16.2869,מאדלינג,"Mödling, Austria","Mödling , Moedling",AT-00033,,,,,
"Mödling, Austria",48.08255,16.2869,מיידלינג,"Mödling, Austria","Mödling , Moedling",AT-00033,,,,,
"Mödling, Austria",48.08255,16.2869,מעדלינג,"Mödling, Austria","Mödling , Moedling",AT-00033,,,,,
"Mödling, Austria",48.08255,16.2869,מרחץ מיידלינג,"Mödling, Austria","Mödling , Moedling",AT-00033,,,,,
Salzburg,47.80949,13.05501,זלצבורג,Salzburg,"Salzburg , Salzbourg , Salisburgo , Zaltsburg , Salcburk , Solnograd , Solnohrad",AT-00034,,,,,
Salzburg,47.80949,13.05501,זלצפורק,Salzburg,"Salzburg , Salzbourg , Salisburgo , Zaltsburg , Salcburk , Solnograd , Solnohrad",AT-00034,,,,,
Styria,47.3593442,14.4699827,שטיירמרק,Styria,,AT-00035,,,,,
"Oberschützen, Austria?",47.34988,16.20697,אויברשיטץ,"Oberschützen, Austria?",,AT-00036,,,,,
"Burgenland (Region), Austria",47.5,16.41666667,בורגנלאנד,"Burgenland (Region), Austria","Burgenland , Várvidék , Őrvidék , Felsőőrvidék , Bergnland , Gradišće , Gradiščanska , Deutsch-Westungarn",AT-00038,,,,,
"Hollabrunn, Austria",48.55,16.08333333,אבערהאלאברון,"Hollabrunn, Austria","Hollabrunn , Oberhollabrunn",AT-00053,,,,,
"Klagenfurt, Austria",46.61666667,14.3,קלאגנפורט,"Klagenfurt, Austria","Klagenfurt , Celovec , Klagenfurt am Wörthersee",AT-00056,,,,,
"Zellerndorf, Austria",48.69453,15.9567401,צעלערנדארף,"Zellerndorf, Austria",,AT-00063,,,,,
"Kroatisch Geresdorf, Austria",47.4914176,16.6102672,גערעסדארף,"Kroatisch Geresdorf, Austria",,AT-00064,,,,,
"Weinern, Austria",48.81455,15.4387199,וויינערן,"Weinern, Austria",,AT-00065,,,,,
"Grafenschachen, Austria",47.36198,16.06669,אראקסאלאש,"Grafenschachen, Austria",,AT-00066,,,,,
"Reichenau an der Rax, Austria",47.6983778,15.8350738,רייכענוי,"Reichenau an der Rax, Austria",,AT-00067,,,,,
"Zissersdorf, Austria",48.4025075,16.1393214,ציסערסדארף,"Zissersdorf, Austria",,AT-00068,,,,,
"Heinrichs bei Weitra, Austria",48.747371,14.8379,היינריכסווייט,"Heinrichs bei Weitra, Austria",,AT-00069,,,,,
"Gattendorf, Austria",48.01424,16.98355,גאטנדארף,"Gattendorf, Austria","Gattendorf , Gáta , Lajtakáta , Raušer , Gatha, Lajtha-Káta",AT-00070,,,,,
"Gattendorf, Austria",48.01424,16.98355,קאטענדארף,"Gattendorf, Austria","Gattendorf , Gáta , Lajtakáta , Raušer , Gatha, Lajtha-Káta",AT-00070,,,,,
"Gattendorf, Austria",48.01424,16.98355,קטן דארף,"Gattendorf, Austria","Gattendorf , Gáta , Lajtakáta , Raušer , Gatha, Lajtha-Káta",AT-00070,,,,,
"Weiz, Austria",47.21717,15.62297,ווייץ,"Weiz, Austria",,AT-00071,,,,,
